V1	V2	V3	V4	V5	V6	V7
4514	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb05g000390	Sobic.005G002700	FAD8	K10257	EC:1.14.19.-
4515	sbi01212	Fatty acid metabolism 	Sb05g000400	Sobic.005G002800	FAD8	K10257	EC:1.14.19.-
4516	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb05g000400	Sobic.005G002800	FAD8	K10257	EC:1.14.19.-
4517	sbi00250	Alanine, aspartate and glutamate metabolism 	Sb05g000440	Sobic.005G003200	asnB	K01953	EC:6.3.5.4
4518	sbi00900	Terpenoid backbone biosynthesis 	Sb05g000470	Sobic.005G003900	FOLK	K15892	EC:2.7.1.-
4519	sbi04120	Ubiquitin mediated proteolysis 	Sb05g000520	Sobic.005G004400	UBE1	K03178	EC:6.3.2.19
4520	sbi00040	Pentose and glucuronate interconversions 	Sb05g000900	Sobic.005G009600	E3.1.1.11	K01051	EC:3.1.1.11
4521	sbi00500	Starch and sucrose metabolism 	Sb05g000900	Sobic.005G009600	E3.1.1.11	K01051	EC:3.1.1.11
4522	sbi00360	Phenylalanine metabolism 	Sb05g001000	Sobic.005G011200	E1.11.1.7	K00430	EC:1.11.1.7
4523	sbi00940	Phenylpropanoid biosynthesis 	Sb05g001000	Sobic.005G011200	E1.11.1.7	K00430	EC:1.11.1.7
4524	sbi00360	Phenylalanine metabolism 	Sb05g001010	Sobic.005G011300	E1.11.1.7	K00430	EC:1.11.1.7
4525	sbi00940	Phenylpropanoid biosynthesis 	Sb05g001010	Sobic.005G011300	E1.11.1.7	K00430	EC:1.11.1.7
4526	sbi00360	Phenylalanine metabolism 	Sb05g001030	Sobic.005G011500	E1.11.1.7	K00430	EC:1.11.1.7
4527	sbi00940	Phenylpropanoid biosynthesis 	Sb05g001030	Sobic.005G011500	E1.11.1.7	K00430	EC:1.11.1.7
4528	sbi04140	Regulation of autophagy 	Sb05g001050	Sobic.005G012000	PRKAA	K07198	EC:2.7.11.11
4529	sbi00564	Glycerophospholipid metabolism 	Sb05g001470	Sobic.005G017200	PCYT2	K00967	EC:2.7.7.14
4530	sbi04144	Endocytosis 	Sb05g001480	Sobic.005G017300	CHMP4	K12194	-
4531	sbi00230	Purine metabolism 	Sb05g001550	Sobic.005G018200	APY1_2	K14641	EC:3.6.1.5
4532	sbi00240	Pyrimidine metabolism 	Sb05g001550	Sobic.005G018200	APY1_2	K14641	EC:3.6.1.5
4533	sbi00230	Purine metabolism 	Sb05g001560	Sobic.005G018300	APY1_2	K14641	EC:3.6.1.5
4534	sbi00240	Pyrimidine metabolism 	Sb05g001560	Sobic.005G018300	APY1_2	K14641	EC:3.6.1.5
4535	sbi00562	Inositol phosphate metabolism 	Sb05g001610	Sobic.005G018900	PLCD	K05857	EC:3.1.4.11
4536	sbi04070	Phosphatidylinositol signaling system 	Sb05g001610	Sobic.005G018900	PLCD	K05857	EC:3.1.4.11
4537	sbi03010	Ribosome 	Sb05g001680	Sobic.005G019700	RP-S16e	K02960	-
4538	sbi04146	Peroxisome 	Sb05g001860	Sobic.005G022000	PXMP2	K13347	-
4539	sbi03008	Ribosome biogenesis in eukaryotes 	Sb05g001880	Sobic.005G022200	XRN2	K12619	EC:3.1.13.-
4540	sbi03018	RNA degradation 	Sb05g001880	Sobic.005G022200	XRN2	K12619	EC:3.1.13.-
4541	sbi04070	Phosphatidylinositol signaling system 	Sb05g002010	Sobic.005G024300	CALM	K02183	-
4542	sbi04626	Plant-pathogen interaction 	Sb05g002010	Sobic.005G024300	CALM	K02183	-
4545	sbi00650	Butanoate metabolism 	Sb05g002170	Sobic.005G026100	E4.1.3.4	K01640	EC:4.1.3.4
4546	sbi00072	Synthesis and degradation of ketone bodies 	Sb05g002170	Sobic.005G026100	E4.1.3.4	K01640	EC:4.1.3.4
4547	sbi00280	Valine, leucine and isoleucine degradation 	Sb05g002170	Sobic.005G026100	E4.1.3.4	K01640	EC:4.1.3.4
4548	sbi04146	Peroxisome 	Sb05g002170	Sobic.005G026100	E4.1.3.4	K01640	EC:4.1.3.4
4553	sbi01200	Carbon metabolism 	Sb05g002240	Sobic.005G026800	gpmB	K15634	EC:5.4.2.12
4554	sbi01230	Biosynthesis of amino acids 	Sb05g002240	Sobic.005G026800	gpmB	K15634	EC:5.4.2.12
4555	sbi00010	Glycolysis / Gluconeogenesis 	Sb05g002240	Sobic.005G026800	gpmB	K15634	EC:5.4.2.12
4556	sbi00260	Glycine, serine and threonine metabolism 	Sb05g002240	Sobic.005G026800	gpmB	K15634	EC:5.4.2.12
4557	sbi03010	Ribosome 	Sb05g002290	Sobic.005G027300	RP-L24	K02895	-
4558	sbi04626	Plant-pathogen interaction 	Sb05g002410	Sobic.005G028700	CML	K13448	-
4559	sbi04626	Plant-pathogen interaction 	Sb05g002460	Sobic.005G029200	CML	K13448	-
4560	sbi04075	Plant hormone signal transduction 	Sb05g002500	Sobic.005G029700	NPR1	K14508	-
4561	sbi04626	Plant-pathogen interaction 	Sb05g002510	Sobic.005G029800	RPM1	K13457	-
4562	sbi01210	2-Oxocarboxylic acid metabolism 	Sb05g002540	Sobic.005G030100	leuA	K01649	EC:2.3.3.13
4563	sbi01230	Biosynthesis of amino acids 	Sb05g002540	Sobic.005G030100	leuA	K01649	EC:2.3.3.13
4564	sbi00620	Pyruvate metabolism 	Sb05g002540	Sobic.005G030100	leuA	K01649	EC:2.3.3.13
4565	sbi00290	Valine, leucine and isoleucine biosynthesis 	Sb05g002540	Sobic.005G030100	leuA	K01649	EC:2.3.3.13
4566	sbi00905	Brassinosteroid biosynthesis 	Sb05g002580	Sobic.005G030400	CYP90A1	K09588	EC:1.14.-.-
4567	sbi00230	Purine metabolism 	Sb05g002600	Sobic.005G030600	RPB5	K03013	-
4568	sbi00240	Pyrimidine metabolism 	Sb05g002600	Sobic.005G030600	RPB5	K03013	-
4569	sbi03020	RNA polymerase 	Sb05g002600	Sobic.005G030600	RPB5	K03013	-
4570	sbi00562	Inositol phosphate metabolism 	Sb05g002690	Sobic.005G031700	PIP5K	K00889	EC:2.7.1.68
4571	sbi04070	Phosphatidylinositol signaling system 	Sb05g002690	Sobic.005G031700	PIP5K	K00889	EC:2.7.1.68
4572	sbi04144	Endocytosis 	Sb05g002690	Sobic.005G031700	PIP5K	K00889	EC:2.7.1.68
4573	sbi00564	Glycerophospholipid metabolism 	Sb05g002750	Sobic.005G032700	K16818	K16818	EC:3.1.1.32
4574	sbi00592	alpha-Linolenic acid metabolism 	Sb05g002750	Sobic.005G032700	K16818	K16818	EC:3.1.1.32
4575	sbi01200	Carbon metabolism 	Sb05g002760	Sobic.005G033000	rpiA	K01807	EC:5.3.1.6
4576	sbi01230	Biosynthesis of amino acids 	Sb05g002760	Sobic.005G033000	rpiA	K01807	EC:5.3.1.6
4577	sbi00030	Pentose phosphate pathway 	Sb05g002760	Sobic.005G033000	rpiA	K01807	EC:5.3.1.6
4578	sbi00710	Carbon fixation in photosynthetic organisms 	Sb05g002760	Sobic.005G033000	rpiA	K01807	EC:5.3.1.6
4579	sbi01212	Fatty acid metabolism 	Sb05g002770	Sobic.005G033100	ACSL	K01897	EC:6.2.1.3
4580	sbi00061	Fatty acid biosynthesis 	Sb05g002770	Sobic.005G033100	ACSL	K01897	EC:6.2.1.3
4581	sbi00071	Fatty acid degradation 	Sb05g002770	Sobic.005G033100	ACSL	K01897	EC:6.2.1.3
4582	sbi04146	Peroxisome 	Sb05g002770	Sobic.005G033100	ACSL	K01897	EC:6.2.1.3
4583	sbi01200	Carbon metabolism 	Sb05g002900	Sobic.005G034400	PK	K00873	EC:2.7.1.40
4584	sbi01230	Biosynthesis of amino acids 	Sb05g002900	Sobic.005G034400	PK	K00873	EC:2.7.1.40
4585	sbi00010	Glycolysis / Gluconeogenesis 	Sb05g002900	Sobic.005G034400	PK	K00873	EC:2.7.1.40
4586	sbi00620	Pyruvate metabolism 	Sb05g002900	Sobic.005G034400	PK	K00873	EC:2.7.1.40
4587	sbi00230	Purine metabolism 	Sb05g002900	Sobic.005G034400	PK	K00873	EC:2.7.1.40
4592	sbi04075	Plant hormone signal transduction 	Sb05g003240	Sobic.005G038700	TGA	K14431	-
4593	sbi00910	Nitrogen metabolism 	Sb05g003270	Sobic.005G039000	cah	K01674	EC:4.2.1.1
4594	sbi03060	Protein export 	Sb05g003290	Sobic.005G039500	SRP54	K03106	-
4595	sbi04141	Protein processing in endoplasmic reticulum 	Sb05g003390	Sobic.005G040900	SYVN1	K10601	EC:6.3.2.19
4596	sbi04120	Ubiquitin mediated proteolysis 	Sb05g003390	Sobic.005G040900	SYVN1	K10601	EC:6.3.2.19
4597	sbi01200	Carbon metabolism 	Sb05g003480	Sobic.005G042000	rbcS	K01602	EC:4.1.1.39
4598	sbi00630	Glyoxylate and dicarboxylate metabolism 	Sb05g003480	Sobic.005G042000	rbcS	K01602	EC:4.1.1.39
4599	sbi00710	Carbon fixation in photosynthetic organisms 	Sb05g003480	Sobic.005G042000	rbcS	K01602	EC:4.1.1.39
4600	sbi03008	Ribosome biogenesis in eukaryotes 	Sb05g003580	Sobic.005G043100	XRN2	K12619	EC:3.1.13.-
4601	sbi03018	RNA degradation 	Sb05g003580	Sobic.005G043100	XRN2	K12619	EC:3.1.13.-
4602	sbi03008	Ribosome biogenesis in eukaryotes 	Sb05g003583	Sobic.005G043400	XRN2	K12619	EC:3.1.13.-
4603	sbi03018	RNA degradation 	Sb05g003583	Sobic.005G043400	XRN2	K12619	EC:3.1.13.-
4604	sbi04712	Circadian rhythm - plant 	Sb05g003660	Sobic.005G044400	PRR5	K12130	-
4605	sbi00561	Glycerolipid metabolism 	Sb05g003730	Sobic.005G045000	E2.4.1.241	K09480	EC:2.4.1.241
4606	sbi04140	Regulation of autophagy 	Sb05g003870	Sobic.005G046900	ATG13	K08331	-
4607	sbi04626	Plant-pathogen interaction 	Sb05g003930	Sobic.005G047800	RPM1	K13457	-
4608	sbi04626	Plant-pathogen interaction 	Sb05g003950	Sobic.005G048400	RPM1	K13457	-
4609	sbi03018	RNA degradation 	Sb05g004010	Sobic.005G049100	CNOT7_8	K12581	-
4610	sbi04075	Plant hormone signal transduction 	Sb05g004150	Sobic.005G050700	ARR-B	K14491	-
4611	sbi00360	Phenylalanine metabolism 	Sb05g004180	Sobic.005G051500	E1.11.1.7	K00430	EC:1.11.1.7
4612	sbi00940	Phenylpropanoid biosynthesis 	Sb05g004180	Sobic.005G051500	E1.11.1.7	K00430	EC:1.11.1.7
4613	sbi04075	Plant hormone signal transduction 	Sb05g004250	Sobic.005G052500	AUX1	K13946	-
4614	sbi01212	Fatty acid metabolism 	Sb05g004500	Sobic.005G054900	ACSL	K01897	EC:6.2.1.3
4615	sbi00061	Fatty acid biosynthesis 	Sb05g004500	Sobic.005G054900	ACSL	K01897	EC:6.2.1.3
4616	sbi00071	Fatty acid degradation 	Sb05g004500	Sobic.005G054900	ACSL	K01897	EC:6.2.1.3
4617	sbi04146	Peroxisome 	Sb05g004500	Sobic.005G054900	ACSL	K01897	EC:6.2.1.3
4618	sbi00190	Oxidative phosphorylation 	Sb05g004510	Sobic.005G055000	ATPeV0C	K02155	-
4619	sbi04145	Phagosome 	Sb05g004510	Sobic.005G055000	ATPeV0C	K02155	-
4620	sbi00960	Tropane, piperidine and pyridine alkaloid biosynthesis 	Sb05g004530	Sobic.005G055300	TR1	K08081	EC:1.1.1.206
4879	sbi00360	Phenylalanine metabolism 	Sb06g000490	Sobic.006G003200	E1.11.1.7	K00430	EC:1.11.1.7
4880	sbi00940	Phenylpropanoid biosynthesis 	Sb06g000490	Sobic.006G003200	E1.11.1.7	K00430	EC:1.11.1.7
4881	sbi00240	Pyrimidine metabolism 	Sb06g000495	Sobic.006G003300	CMPK1	K13800	EC:2.7.4.- 2.7.4.14
4882	sbi01230	Biosynthesis of amino acids 	Sb06g000580	Sobic.006G004500	E3.5.3.1	K01476	EC:3.5.3.1
4883	sbi00330	Arginine and proline metabolism 	Sb06g000580	Sobic.006G004500	E3.5.3.1	K01476	EC:3.5.3.1
4884	sbi04141	Protein processing in endoplasmic reticulum 	Sb06g000660	Sobic.006G005600	htpG	K04079	-
4885	sbi04626	Plant-pathogen interaction 	Sb06g000660	Sobic.006G005600	htpG	K04079	-
4886	sbi00920	Sulfur metabolism 	Sb06g000880	Sobic.006G008700	PAPSS	K13811	EC:2.7.7.4 2.7.1.25
4887	sbi00230	Purine metabolism 	Sb06g000880	Sobic.006G008700	PAPSS	K13811	EC:2.7.7.4 2.7.1.25
4888	sbi00450	Selenocompound metabolism 	Sb06g000880	Sobic.006G008700	PAPSS	K13811	EC:2.7.7.4 2.7.1.25
4889	sbi04626	Plant-pathogen interaction 	Sb06g001080	Sobic.006G010800	CML	K13448	-
4890	sbi03040	Spliceosome 	Sb06g001100	Sobic.006G011000	SFRS4_5_6	K12893	-
4891	sbi01200	Carbon metabolism 	Sb06g001120	Sobic.006G011200	PDHA	K00161	EC:1.2.4.1
4892	sbi00010	Glycolysis / Gluconeogenesis 	Sb06g001120	Sobic.006G011200	PDHA	K00161	EC:1.2.4.1
4893	sbi00020	Citrate cycle (TCA cycle) 	Sb06g001120	Sobic.006G011200	PDHA	K00161	EC:1.2.4.1
4894	sbi00620	Pyruvate metabolism 	Sb06g001120	Sobic.006G011200	PDHA	K00161	EC:1.2.4.1
4895	sbi00380	Tryptophan metabolism 	Sb06g001210	Sobic.006G012200	YUCCA	K11816	EC:1.14.13.168
4896	sbi04141	Protein processing in endoplasmic reticulum 	Sb06g001240	Sobic.006G012500	SEC24	K14007	-
4905	sbi00310	Lysine degradation 	Sb06g001340	Sobic.006G013700	EHMT	K11420	EC:2.1.1.43
4906	sbi00230	Purine metabolism 	Sb06g001360	Sobic.006G013900	RPB11	K03008	-
4907	sbi00240	Pyrimidine metabolism 	Sb06g001360	Sobic.006G013900	RPB11	K03008	-
4908	sbi03020	RNA polymerase 	Sb06g001360	Sobic.006G013900	RPB11	K03008	-
4909	sbi00040	Pentose and glucuronate interconversions 	Sb06g001410	Sobic.006G014400	E4.2.2.2	K01728	EC:4.2.2.2
4910	sbi00940	Phenylpropanoid biosynthesis 	Sb06g001430	Sobic.006G014700	E1.1.1.195	K00083	EC:1.1.1.195
4911	sbi02010	ABC transporters 	Sb06g001440	Sobic.006G014800	ABCB1	K05658	EC:3.6.3.44
4912	sbi03060	Protein export 	Sb06g001580	Sobic.006G016600	IMP2	K09648	EC:3.4.21.-
4913	sbi01200	Carbon metabolism 	Sb06g001610	Sobic.006G016900	ATCYSC1	K13034	EC:2.5.1.47 4.4.1.9
4914	sbi01230	Biosynthesis of amino acids 	Sb06g001610	Sobic.006G016900	ATCYSC1	K13034	EC:2.5.1.47 4.4.1.9
4915	sbi00920	Sulfur metabolism 	Sb06g001610	Sobic.006G016900	ATCYSC1	K13034	EC:2.5.1.47 4.4.1.9
4916	sbi00270	Cysteine and methionine metabolism 	Sb06g001610	Sobic.006G016900	ATCYSC1	K13034	EC:2.5.1.47 4.4.1.9
4917	sbi00460	Cyanoamino acid metabolism 	Sb06g001610	Sobic.006G016900	ATCYSC1	K13034	EC:2.5.1.47 4.4.1.9
4918	sbi00230	Purine metabolism 	Sb06g001670	Sobic.006G017600	RPB9	K03017	-
4919	sbi00240	Pyrimidine metabolism 	Sb06g001670	Sobic.006G017600	RPB9	K03017	-
4920	sbi03020	RNA polymerase 	Sb06g001670	Sobic.006G017600	RPB9	K03017	-
4921	sbi04075	Plant hormone signal transduction 	Sb06g001720	Sobic.006G018400	PP2C	K14497	EC:3.1.3.16
4922	sbi04075	Plant hormone signal transduction 	Sb06g001740	Sobic.006G018800	ETR	K14509	EC:2.7.13.-
4923	sbi04075	Plant hormone signal transduction 	Sb06g001800	Sobic.006G019200	SAUR	K14488	-
4924	sbi00062	Fatty acid elongation 	Sb06g001920	Sobic.006G020500	KCS	K15397	EC:2.3.1.199
4927	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb06g002780	Sobic.006G027100	IARS	K01870	EC:6.1.1.5
4928	sbi00564	Glycerophospholipid metabolism 	Sb06g003053	Sobic.006G029700	glpA	K00111	EC:1.1.5.3
4929	sbi01212	Fatty acid metabolism 	Sb06g003090	Sobic.006G030100	ACAC	K11262	EC:6.4.1.2 6.3.4.14
4930	sbi00620	Pyruvate metabolism 	Sb06g003090	Sobic.006G030100	ACAC	K11262	EC:6.4.1.2 6.3.4.14
4931	sbi00640	Propanoate metabolism 	Sb06g003090	Sobic.006G030100	ACAC	K11262	EC:6.4.1.2 6.3.4.14
4932	sbi00061	Fatty acid biosynthesis 	Sb06g003090	Sobic.006G030100	ACAC	K11262	EC:6.4.1.2 6.3.4.14
4933	sbi00254	Aflatoxin biosynthesis	Sb06g003090	Sobic.006G030100	ACAC	K11262	EC:6.4.1.2 6.3.4.14
4934	sbi01200	Carbon metabolism 	Sb06g003160	Sobic.006G030800	G6PD	K00036	EC:1.1.1.49
4935	sbi00030	Pentose phosphate pathway 	Sb06g003160	Sobic.006G030800	G6PD	K00036	EC:1.1.1.49
4936	sbi00480	Glutathione metabolism 	Sb06g003160	Sobic.006G030800	G6PD	K00036	EC:1.1.1.49
4937	sbi00590	Arachidonic acid metabolism 	Sb06g003270	Sobic.006G032100	PTGES2	K05309	EC:5.3.99.3
4938	sbi04120	Ubiquitin mediated proteolysis 	Sb06g003290	Sobic.006G032300	TRIP12	K10590	EC:6.3.2.19
4939	sbi01200	Carbon metabolism 	Sb06g004280	Sobic.006G034300	E2.2.1.1	K00615	EC:2.2.1.1
4940	sbi01230	Biosynthesis of amino acids 	Sb06g004280	Sobic.006G034300	E2.2.1.1	K00615	EC:2.2.1.1
4941	sbi00030	Pentose phosphate pathway 	Sb06g004280	Sobic.006G034300	E2.2.1.1	K00615	EC:2.2.1.1
4942	sbi00710	Carbon fixation in photosynthetic organisms 	Sb06g004280	Sobic.006G034300	E2.2.1.1	K00615	EC:2.2.1.1
4943	sbi01051	Biosynthesis of ansamycins	Sb06g004280	Sobic.006G034300	E2.2.1.1	K00615	EC:2.2.1.1
4944	sbi00260	Glycine, serine and threonine metabolism 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4945	sbi00350	Tyrosine metabolism 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4946	sbi00360	Phenylalanine metabolism 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4947	sbi00410	beta-Alanine metabolism 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4948	sbi00950	Isoquinoline alkaloid biosynthesis 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4949	sbi00960	Tropane, piperidine and pyridine alkaloid biosynthesis 	Sb06g004290	Sobic.006G034400	AOC3	K00276	EC:1.4.3.21
4950	sbi03015	mRNA surveillance pathway 	Sb06g004300	Sobic.006G034500	ERF3	K03267	-
4951	sbi00330	Arginine and proline metabolism 	Sb06g004550	Sobic.006G035500	E1.14.11.2	K00472	EC:1.14.11.2
4952	sbi03010	Ribosome 	Sb06g004770	Sobic.006G035900	RP-S8e	K02995	-
4958	sbi01212	Fatty acid metabolism 	Sb06g010860	Sobic.006G043700	fabG	K00059	EC:1.1.1.100
4959	sbi00061	Fatty acid biosynthesis 	Sb06g010860	Sobic.006G043700	fabG	K00059	EC:1.1.1.100
4960	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb06g010860	Sobic.006G043700	fabG	K00059	EC:1.1.1.100
4961	sbi00780	Biotin metabolism 	Sb06g010860	Sobic.006G043700	fabG	K00059	EC:1.1.1.100
4962	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb06g011080	Sobic.006G044200	E3.2.1.14	K01183	EC:3.2.1.14
4963	sbi03013	RNA transport 	Sb06g011300	Sobic.006G044600	EIF3H	K03247	-
4966	sbi04712	Circadian rhythm - plant 	Sb06g012260	Sobic.006G047700	FT	K16223	-
4967	sbi00908	Zeatin biosynthesis 	Sb06g012280	Sobic.006G048000	CISZOG	K13495	EC:2.4.1.215
4968	sbi01212	Fatty acid metabolism 	Sb06g012520	Sobic.006G048700	DESA1	K03921	EC:1.14.19.2
4969	sbi00061	Fatty acid biosynthesis 	Sb06g012520	Sobic.006G048700	DESA1	K03921	EC:1.14.19.2
4970	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb06g012520	Sobic.006G048700	DESA1	K03921	EC:1.14.19.2
4972	sbi00230	Purine metabolism 	Sb06g013790	Sobic.006G051000	PRI2	K02685	EC:2.7.7.-
4973	sbi00240	Pyrimidine metabolism 	Sb06g013790	Sobic.006G051000	PRI2	K02685	EC:2.7.7.-
4974	sbi03030	DNA replication 	Sb06g013790	Sobic.006G051000	PRI2	K02685	EC:2.7.7.-
4975	sbi03040	Spliceosome 	Sb06g013920	Sobic.006G052400	LSM6	K12625	-
4976	sbi03018	RNA degradation 	Sb06g013920	Sobic.006G052400	LSM6	K12625	-
4977	sbi01200	Carbon metabolism 	Sb06g013930	Sobic.006G052500	OGDH	K00164	EC:1.2.4.2
4978	sbi00020	Citrate cycle (TCA cycle) 	Sb06g013930	Sobic.006G052500	OGDH	K00164	EC:1.2.4.2
4979	sbi00310	Lysine degradation 	Sb06g013930	Sobic.006G052500	OGDH	K00164	EC:1.2.4.2
4980	sbi00380	Tryptophan metabolism 	Sb06g013930	Sobic.006G052500	OGDH	K00164	EC:1.2.4.2
4981	sbi01200	Carbon metabolism 	Sb06g013940	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
4982	sbi00020	Citrate cycle (TCA cycle) 	Sb06g013940	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
4983	sbi00310	Lysine degradation 	Sb06g013940	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
4984	sbi00380	Tryptophan metabolism 	Sb06g013940	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
4985	sbi04075	Plant hormone signal transduction 	Sb06g014230	Sobic.006G053900	SAUR	K14488	-
4986	sbi04626	Plant-pathogen interaction 	Sb06g014310	Sobic.006G054700	PBS1	K13430	EC:2.7.11.1
4987	sbi00230	Purine metabolism 	Sb06g014360	Sobic.006G055300	RPC53	K03026	-
4988	sbi00240	Pyrimidine metabolism 	Sb06g014360	Sobic.006G055300	RPC53	K03026	-
4989	sbi03020	RNA polymerase 	Sb06g014360	Sobic.006G055300	RPC53	K03026	-
4990	sbi03040	Spliceosome 	Sb06g014400	Sobic.006G055600	HSPA1_8	K03283	-
4991	sbi04141	Protein processing in endoplasmic reticulum 	Sb06g014400	Sobic.006G055600	HSPA1_8	K03283	-
4992	sbi04144	Endocytosis 	Sb06g014400	Sobic.006G055600	HSPA1_8	K03283	-
4993	sbi04075	Plant hormone signal transduction 	Sb06g014460	Sobic.006G056400	JAZ	K13464	-
4994	sbi04626	Plant-pathogen interaction 	Sb06g014460	Sobic.006G056400	JAZ	K13464	-
4995	sbi03010	Ribosome 	Sb06g014470	Sobic.006G056600	RP-L4	K02926	-
4996	sbi03010	Ribosome 	Sb06g014530	Sobic.006G057200	RP-L12e	K02870	-
4997	sbi04712	Circadian rhythm - plant 	Sb06g014570	Sobic.006G057900	PRR7	K12129	-
4998	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb06g014710	Sobic.006G058800	GARS	K01880	EC:6.1.1.14
4999	sbi00190	Oxidative phosphorylation 	Sb06g014720	Sobic.006G058900	UQCRFS1	K00411	EC:1.10.2.2
5000	sbi00908	Zeatin biosynthesis 	Sb06g014810	Sobic.006G059900	IPT	K10760	-
5001	sbi00562	Inositol phosphate metabolism 	Sb06g014820	Sobic.006G060000	CDIPT	K00999	EC:2.7.8.11
5002	sbi00564	Glycerophospholipid metabolism 	Sb06g014820	Sobic.006G060000	CDIPT	K00999	EC:2.7.8.11
5003	sbi04070	Phosphatidylinositol signaling system 	Sb06g014820	Sobic.006G060000	CDIPT	K00999	EC:2.7.8.11
5004	sbi00500	Starch and sucrose metabolism 	Sb06g015110	Sobic.006G063600	E3.2.1.1	K01176	EC:3.2.1.1
5005	sbi01200	Carbon metabolism 	Sb06g015180	Sobic.006G064600	ACSS	K01895	EC:6.2.1.1
5006	sbi00010	Glycolysis / Gluconeogenesis 	Sb06g015180	Sobic.006G064600	ACSS	K01895	EC:6.2.1.1
5007	sbi00620	Pyruvate metabolism 	Sb06g015180	Sobic.006G064600	ACSS	K01895	EC:6.2.1.1
5008	sbi00640	Propanoate metabolism 	Sb06g015180	Sobic.006G064600	ACSS	K01895	EC:6.2.1.1
5009	sbi01230	Biosynthesis of amino acids 	Sb06g015310	Sobic.006G066200	ADT	K05359	EC:4.2.1.91 4.2.1.51
5010	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb06g015310	Sobic.006G066200	ADT	K05359	EC:4.2.1.91 4.2.1.51
5011	sbi00903	Limonene and pinene degradation 	Sb06g015320	Sobic.006G066400	E1.14.-.-	K00517	-
5012	sbi00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis 	Sb06g015320	Sobic.006G066400	E1.14.-.-	K00517	-
5013	sbi00500	Starch and sucrose metabolism 	Sb06g015360	Sobic.006G066800	glgB	K00700	EC:2.4.1.18
5014	sbi03010	Ribosome 	Sb06g015440	Sobic.006G067800	RP-LP2	K02943	-
5015	sbi00195	Photosynthesis 	Sb06g015570	Sobic.006G069000	petF	K02639	-
5016	sbi00910	Nitrogen metabolism 	Sb06g015600	Sobic.006G069300	cah	K01674	EC:4.2.1.1
5017	sbi00195	Photosynthesis 	Sb06g016090	Sobic.006G073500	psaO	K14332	-
5018	sbi00510	N-Glycan biosynthesis 	Sb06g016140	Sobic.006G074000	DPM3	K09659	-
5026	sbi00561	Glycerolipid metabolism 	Sb06g016250	Sobic.006G075100	E2.4.1.241	K09480	EC:2.4.1.241
5027	sbi00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis 	Sb06g016470	Sobic.006G077600	PIGP	K03861	-
5028	sbi01200	Carbon metabolism 	Sb06g016480	Sobic.006G077900	cysK	K01738	EC:2.5.1.47
5029	sbi01230	Biosynthesis of amino acids 	Sb06g016480	Sobic.006G077900	cysK	K01738	EC:2.5.1.47
5030	sbi00920	Sulfur metabolism 	Sb06g016480	Sobic.006G077900	cysK	K01738	EC:2.5.1.47
5031	sbi00270	Cysteine and methionine metabolism 	Sb06g016480	Sobic.006G077900	cysK	K01738	EC:2.5.1.47
5032	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb06g016510	Sobic.006G078200	E3.2.1.14	K01183	EC:3.2.1.14
5033	sbi00360	Phenylalanine metabolism 	Sb06g016610	Sobic.006G079300	E1.11.1.7	K00430	EC:1.11.1.7
5034	sbi00940	Phenylpropanoid biosynthesis 	Sb06g016610	Sobic.006G079300	E1.11.1.7	K00430	EC:1.11.1.7
5035	sbi03013	RNA transport 	Sb06g016670	Sobic.006G080000	RPP25	K14525	EC:3.1.26.5
5036	sbi03008	Ribosome biogenesis in eukaryotes 	Sb06g016670	Sobic.006G080000	RPP25	K14525	EC:3.1.26.5
5037	sbi00760	Nicotinate and nicotinamide metabolism 	Sb06g016780	Sobic.006G080900	pncB	K00763	EC:6.3.4.21
5039	sbi00230	Purine metabolism 	Sb06g016970	Sobic.006G083100	E2.1.2.2	K00601	EC:2.1.2.2
5040	sbi00670	One carbon pool by folate 	Sb06g016970	Sobic.006G083100	E2.1.2.2	K00601	EC:2.1.2.2
5042	sbi00053	Ascorbate and aldarate metabolism 	Sb06g017080	Sobic.006G084400	E1.11.1.11	K00434	EC:1.11.1.11
5043	sbi00480	Glutathione metabolism 	Sb06g017080	Sobic.006G084400	E1.11.1.11	K00434	EC:1.11.1.11
